"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.04917,-34.95039,-90.0242857142857,-86.8442857142857,-82.45,-80.95,-96.3125,-95.41,-96.52,-97.346,-96.7925,3,3,5,9006
-8.0467,-34.95058,-76.01,-70.07,-75.07,-92.1451388888889,-92.46,-91.9,-90.5533333333333,-98.898,-94.4075,2,4,5,9560
-8.04979,-34.95045,-96.9614285714286,-93.71,-96.22,-92.02,-96.0925,-94.0242857142857,-95.0566666666667,-96.632,-98.7325,3,3,4,8854
-8.05445,-34.95382,-89.85,-96.6671428571429,-89.59,-93.29,-83.16,-89.9342857142857,-93.39,-87.318,-95.455,5,4,2,7501
-8.05057,-34.95335,-84.45,-94.02,-82.2885714285714,-94.7333333333333,-95.135,-93.2114285714286,-90.965,-95.39,-98.2875,3,4,3,8657
-8.05148,-34.95984,-83.11,-95.7014285714286,-83.01,-99.26,-98.405,-92.1503571428571,-84.87,-99.194,-88.08,5,7,2,8410
-8.04837,-34.94554,-100.631428571429,-90.3814285714286,-97.0507142857143,-68.89,-89.4825,-84.4714285714286,-86.5,-90.834,-96.92,4,2,7,9275
-8.04884,-34.95756,-83.95,-95.4,-83.64,-98.4933333333333,-96.8925,-94.7257142857143,-89.9166666666667,-102.228666666667,-102.58,4,6,3,9078
-8.0513,-34.95061,-82.26,-93.2271428571429,-89.6271428571429,-82.26,-94.8675,-85.71,-91.31,-95.286,-95.9225,4,3,4,8479
-8.04861,-34.95433,-78.96,-89.9457142857143,-87.53,-97.2,-93.035,-94.1457142857143,-79.335,-100.428666666667,-94.66,3,5,4,9144
-8.05236,-34.9468,-88.3285714285714,-90.7114285714286,-89.8157142857143,-59.03,-96.11,-83.2014285714286,-93.45,-90.804,-97.6,5,1,5,7938
-8.04732,-34.94757,-98.0257142857143,-92.89,-99.79,-96.27,-98.8375,-96.46,-99.6416666666667,-102.314,-94.4075,3,3,6,9470
-8.05224,-34.94727,-90.1785714285714,-82.28,-77.84,-56.28,-77.2525,-73.97,-89.9066666666667,-95.512,-97.6,5,1,5,7983
-8.05186,-34.95732,-88.1528571428571,-97.42,-90.05,-98.54,-98.52,-93.4214285714286,-69.305,-95.63,-86.43,5,6,2,8234
-8.0554,-34.95049,-91.3957142857143,-91.97,-91.6666666666667,-89.59,-83.4025,-90.22,-84.57,-85.332,-96.3725,6,3,3,7222
-8.05207,-34.94749,-88.48,-91.1285714285714,-93.2285714285714,-57.71,-75.46,-85.91,-87.8933333333333,-96.138,-97.6,5,1,5,8093
-8.05556,-34.95074,-91.6185714285714,-92.1485714285714,-91.6666666666667,-90.47,-82.53,-89.22,-90.065,-85.832,-96.3725,6,3,3,7087
-8.05337,-34.9465,-87.8985714285714,-86.4057142857143,-84.4657142857143,-65.04,-70.9175,-82.6,-90.34,-86.816,-97.255,5,1,5,7750
-8.0553,-34.95114,-89.2542857142857,-91.8871428571428,-89.26,-83.01,-85.58,-76.83,-90.0483333333333,-85.766,-96.3725,6,3,3,7280
-8.05556,-34.95452,-91.0242857142857,-96.2,-90.97,-95.2383333333333,-90.945,-90.6785714285714,-74.895,-71.052,-95.11,6,5,2,7085
-8.04642,-34.95273,-78.83,-91.8185714285714,-75.4625,-93.865,-98.73,-95.98,-87.2,-103.704,-97.22,1,5,5,9670
-8.04926,-34.95607,-76.14,-95.2228571428571,-87.51,-98.6366666666667,-96.53,-94.17,-86.1466666666667,-102.228666666667,-90.02,3,6,3,8984
-8.05131,-34.94768,-93.5428571428571,-100.12,-96.82,-72.08,-89.73,-93.7657142857143,-98.1016666666667,-98.578,-97.6,4,2,5,8477
-8.05563,-34.95412,-92.1471428571429,-96.2,-91.6842857142857,-98.53,-95.645,-93.4842857142857,-78.3766666666667,-69.126,-96.7025,6,5,2,7015
-8.05281,-34.95342,-89.18,-98.9328571428571,-89.7514285714286,-101.231666666667,-100.9,-97.1385714285714,-101.75,-99.576,-97.765,4,4,2,7847
-8.05124,-34.95984,-89.58,-95.4428571428572,-83.79,-99.26,-97.905,-91.31,-92.6466666666667,-99.194,-86.52,5,7,2,8497
-8.05233,-34.94834,-90.43,-86.9728571428572,-89.5042857142857,-64.54,-78.5975,-75.98,-87.08,-93.01,-97.255,5,2,5,7944
-8.04801,-34.94765,-91.64,-80.5042857142857,-93.9935714285714,-86.76,-97.685,-96.21,-106.07,-102.064,-94.4075,3,3,6,9377
-8.05317,-34.95566,-87.4042857142857,-96.3728571428571,-86.0092857142857,-100.565,-99.5075,-96.6242857142857,-52.69,-83.38,-79.59,5,5,1,7779
-8.05472,-34.95936,-82.0157142857143,-100.307142857143,-81.6471428571429,-95.72,-100.225,-90.2,-92.12,-89.368,-58.77,6,7,1,7428
-8.05372,-34.95581,-87.7185714285714,-96.95,-97.41,-102.270833333333,-102.0075,-96.8828571428571,-69.75,-83.666,-88.47,5,5,1,7666
-8.04997,-34.94587,-94.4271428571429,-85.9614285714286,-93.2814285714286,-57.14,-84.965,-85.0685714285714,-90.3066666666667,-94.342,-98.9125,4,1,6,8820
-8.04862,-34.95081,-81.19,-87.5314285714286,-84.76,-81.47,-90.8225,-89.33,-92.46,-98.012,-96.7925,3,4,5,9141
-8.04945,-34.94577,-97.2157142857143,-85.7728571428571,-94.3414285714286,-63.14,-85.0275,-86.72,-88.93,-97.935,-96.3575,4,2,6,8946
-8.05152,-34.95023,-92.7,-94.2557142857143,-92.7,-75.69,-93.27,-87.7757142857143,-93.5016666666667,-95.754,-97.2725,4,3,4,8395
-8.05648,-34.95509,-95.6614285714286,-97.7914285714286,-92.8257142857143,-98.32,-91.8025,-90.8414285714286,-81.495,-68.106,-91.4275,6,5,1,6799
-8.05624,-34.95506,-94.52,-97.7914285714286,-93.0428571428572,-97.9533333333333,-90.9425,-89.7442857142857,-83.0883333333333,-72.694,-93.0075,6,5,1,6851
-8.04642,-34.95249,-66.52,-92.6842857142857,-66.39,-94.1566666666667,-83.52,-90.8814285714286,-82.25,-103.704,-97.22,1,5,5,9672
-8.05652,-34.95617,-91.1428571428571,-99.0457142857143,-92.73,-100.866666666667,-90.205,-93.8785714285714,-85.83,-64.88,-87.1,6,6,1,6794
-8.05519,-34.95349,-85.4628571428571,-96.14,-90.8828571428571,-99.79,-89.335,-92.8285714285714,-84.8166666666667,-81.508,-97.48,6,4,2,7329
-8.05133,-34.9506,-88.5914285714286,-92.5771428571428,-90.0485714285714,-84.26,-94.8675,-88.71,-92.7283333333333,-95.286,-95.9225,4,3,4,8471
-8.04999,-34.95473,-82.4194285714286,-98.2553571428572,-91.26,-101.535,-97.59125,-90.6569047619048,-80.6172222222222,-99.9346666666667,-98.99,3,5,3,8815
-8.0505,-34.94758,-98.64,-91.4885714285714,-97.1385714285714,-71.71,-87.405,-92.3642857142857,-92.3833333333333,-96.362,-98.9125,4,2,5,8693
-8.05267,-34.94624,-92.9657142857143,-91.4828571428571,-93.5042857142857,-43.02,-79.46,-89.16,-90.685,-94.52,-97.255,5,1,6,7875
-8.0557,-34.95898,-85.9814285714286,-100.288571428571,-84.5728571428571,-94.765,-100.225,-83.7171428571429,-87.24,-85.38,-64.6,7,7,1,6974
-8.04737,-34.95064,-95.27,-74.32,-82.2171428571429,-89.27,-92.1975,-95.27,-90.0516666666667,-99.034,-94.4075,2,4,5,9458
-8.0585,-34.94968,-92.7657142857143,-92.9457142857143,-91.8728571428571,-97.56,-80.4425,-81.9428571428572,-95.16,-83.53,-96.2325,7,4,4,6695
-8.0556,-34.95422,-90.0257142857143,-96.2,-92.1485714285714,-97.6533333333333,-96.99,-93.1271428571428,-78.6366666666667,-68.34,-97.93,6,5,2,7046
-8.04914,-34.9457,-97.0528571428571,-84.9071428571428,-94.3414285714286,-59.89,-85.0275,-88.03,-91.05,-93.536,-96.3575,4,2,6,9012
-8.05123,-34.95226,-83.28,-94.6,-81.27,-93.6,-85.69,-89.3257142857143,-90.1766666666667,-94.67,-95.1975,4,4,3,8502
-8.05552,-34.95555,-95.2542857142857,-98.5685714285714,-94.6375,-97.41,-87.0725,-95.23,-73.0316666666667,-65.32,-94.16,6,5,1,7112
-8.0495,-34.95356,-72.01,-94.1957142857143,-80.1185714285714,-91.02,-89.71,-89.5742857142857,-91.8966666666667,-97.054,-96.2825,3,4,3,8933
-8.05353,-34.95401,-95.79,-96.92,-98.87,-95.21,-95.8075,-94.8314285714286,-93.9116666666667,-98.54,-96.55,5,4,2,7711
-8.05101,-34.95503,-84.965,-99.5725,-89.84,-101.06,-94.67,-91.3385714285714,-81.96,-97.102,-103.53,4,5,2,8564
-8.05523,-34.95189,-89.47,-93.55,-92.1171428571429,-95.35,-86.66,-87.0785714285714,-95.0416666666667,-77.434,-96.7,6,4,3,7308
-8.05162,-34.94953,-91.61,-92.6485714285714,-91.9742857142857,-72.59,-81.065,-87.2828571428571,-91.9416666666667,-96.142,-97.7875,4,2,4,8357
-8.05641,-34.95643,-93.59,-99.1157142857143,-91.4,-99.4316666666667,-92.505,-95.2514285714286,-85.83,-77.69,-89.83,6,6,1,6813
-8.04729,-34.95062,-81.01,-72.26,-81.07,-89.54,-92.04,-89.77,-90.0516666666667,-99.034,-94.4075,2,4,5,9475
-8.05529,-34.95363,-85.78,-96.14,-97.48,-94.09,-86.255,-94.78,-81.0816666666667,-83.544,-96.05,6,4,2,7283
-8.05339,-34.94885,-86.9614285714286,-89.1914285714286,-88.5557142857143,-74.1133333333333,-80.165,-79.06,-88.6833333333333,-91.502,-97.255,5,2,4,7743
-8.0517,-34.94782,-95.5,-91.9028571428571,-91.1685714285714,-75.25,-83.9,-83.6414285714286,-90.6716666666667,-101.54,-97.6,4,2,5,8322
-8.04855,-34.9529,-70.94,-80.44,-78.19,-82.44,-87.3625,-87.4014285714286,-88.76,-99.226,-96.7675,2,4,4,9177
-8.05196,-34.94754,-91.4014285714286,-93.5,-91.5528571428571,-48.14,-88.0325,-87.09,-91.88,-97.146,-97.6,5,1,5,8163
-8.05609,-34.95065,-91.2185714285714,-93.59,-91.9266666666666,-93.22,-81.495,-78.9414285714286,-93.95,-89.852,-96.3725,6,3,3,6888
-8.05227,-34.94828,-87.1914285714286,-89.3,-89.5042857142857,-69.54,-81.4825,-75.17,-87.3266666666667,-92.514,-97.255,5,2,5,7962
-8.05547,-34.95625,-88.03,-98.5685714285714,-90.1217857142857,-96.4316666666667,-93.13,-93.8814285714286,-85.595,-74.08,-88.8975,6,6,1,7154
-8.05076,-34.95057,-94.65,-96.72,-92.08,-93.58,-89.9875,-86.3014285714286,-92.64,-94.976,-96.5925,4,3,4,8613
-8.05352,-34.94903,-86.9614285714286,-89.4,-89.9414285714286,-69.54,-77.8725,-77.6857142857143,-90.8483333333333,-88.444,-96.72,5,2,4,7715
-8.04856,-34.95082,-83.900306122449,-87.3614285714286,-87.7245714285714,-79.57,-96.35,-87.8290476190476,-91.375,-98.012,-96.7925,2,4,5,9172
-8.05186,-34.95323,-85.2,-92.56,-88.26,-83.25,-86.315,-92.6342857142857,-87.7583333333333,-96.096,-95.605,4,4,3,8236
-8.05201,-34.95146,-79.07,-93.3671428571429,-88.1071428571429,-85.7,-92.39,-90.4857142857143,-91.4133333333333,-96.93,-95.605,4,3,3,8123
-8.04849,-34.95076,-81.5942857142857,-95.21,-79.5,-71.07,-88.335,-87.7690476190476,-90.9166666666667,-98.012,-96.7925,2,4,5,9217
-8.05558,-34.9538,-93.73,-96.1742857142857,-91.5971428571429,-94.85,-90.53,-94.02,-76.0333333333333,-72.078,-94.67,6,4,2,7062
-8.05411,-34.95751,-89.9357142857143,-99.21,-90.2728571428571,-103.375833333333,-101.565,-95.2242857142857,-65.75,-88.874,-76.33,6,6,1,7600
-8.05783,-34.95188,-96,-91.2542857142857,-92.51,-95.825,-86.03,-87.6714285714286,-92.2733333333333,-79.13,-96.2325,7,4,3,6728
-8.0549,-34.95928,-80.91,-100.288571428571,-79.2171428571429,-95.72,-100.225,-82.7714285714286,-76.5566666666667,-89.368,-68.35,6,7,1,7405
